epoch,probe_name,train_acc,test_acc,n_train,n_test,fit_seconds,status,error_message
60,linear_svm,0.9807,0.8726,10000,10000,4.02,ok,
60,rbf_svm,0.9176,0.8705,10000,10000,0.889,ok,
60,random_forest,1.0,0.8714,50000,10000,2.585,ok,
70,logistic_regression,0.95684,0.906,50000,10000,3.213,ok,
70,linear_svm,0.9864,0.8909,10000,10000,3.494,ok,
70,rbf_svm,0.9373,0.8913,10000,10000,0.702,ok,
70,random_forest,1.0,0.8931,50000,10000,2.528,ok,
80,logistic_regression,0.96132,0.9055,50000,10000,3.115,ok,
80,linear_svm,0.9888,0.8958,10000,10000,3.346,ok,
80,rbf_svm,0.9361,0.8927,10000,10000,0.68,ok,
80,random_forest,1.0,0.895,50000,10000,2.633,ok,
90,logistic_regression,0.97074,0.9183,50000,10000,2.332,ok,
90,linear_svm,0.9935,0.9052,10000,10000,3.139,ok,
90,rbf_svm,0.9527,0.9082,10000,10000,0.541,ok,
90,random_forest,1.0,0.9087,50000,10000,2.673,ok,
100,logistic_regression,0.97496,0.9205,50000,10000,2.452,ok,
100,linear_svm,0.9942,0.9084,10000,10000,4.012,ok,
100,rbf_svm,0.9592,0.9121,10000,10000,0.508,ok,
100,random_forest,1.0,0.9137,50000,10000,2.416,ok,
110,logistic_regression,0.97968,0.9249,50000,10000,2.259,ok,
110,linear_svm,0.9967,0.9189,10000,10000,3.733,ok,
110,rbf_svm,0.966,0.918,10000,10000,0.457,ok,
110,random_forest,1.0,0.92,50000,10000,2.528,ok,
120,logistic_regression,0.98642,0.9275,50000,10000,1.883,ok,
120,linear_svm,0.9988,0.9213,10000,10000,2.645,ok,
120,rbf_svm,0.9759,0.9218,10000,10000,0.38,ok,
120,random_forest,1.0,0.9235,50000,10000,2.487,ok,
130,logistic_regression,0.98922,0.9277,50000,10000,10.835,ok,
130,linear_svm,0.999,0.9228,10000,10000,4.167,ok,
130,rbf_svm,0.9797,0.9237,10000,10000,2.668,ok,
130,random_forest,1.0,0.9241,50000,10000,6.484,ok,
140,logistic_regression,0.99136,0.9314,50000,10000,9.82,ok,
140,linear_svm,0.9995,0.9244,10000,10000,3.186,ok,
140,rbf_svm,0.9848,0.9266,10000,10000,0.422,ok,
140,random_forest,1.0,0.9268,50000,10000,4.985,ok,
150,logistic_regression,0.9953,0.9365,50000,10000,2.822,ok,
150,linear_svm,1.0,0.9334,10000,10000,3.453,ok,
150,rbf_svm,0.992,0.931,10000,10000,0.307,ok,
150,random_forest,1.0,0.9313,50000,10000,3.73,ok,
160,logistic_regression,0.99846,0.9382,50000,10000,0.613,ok,
160,linear_svm,1.0,0.9378,10000,10000,2.087,ok,
160,rbf_svm,0.9973,0.939,10000,10000,0.189,ok,
160,random_forest,1.0,0.9389,50000,10000,2.083,ok,
170,logistic_regression,0.99994,0.9473,50000,10000,1.341,ok,
170,linear_svm,1.0,0.9484,10000,10000,2.688,ok,
170,rbf_svm,1.0,0.948,10000,10000,0.154,ok,
170,random_forest,1.0,0.9485,50000,10000,2.174,ok,
180,logistic_regression,1.0,0.9543,50000,10000,0.499,ok,
180,linear_svm,1.0,0.9541,10000,10000,3.007,ok,
180,rbf_svm,1.0,0.9546,10000,10000,0.16,ok,
180,random_forest,1.0,0.9536,50000,10000,2.089,ok,
190,logistic_regression,1.0,0.9563,50000,10000,0.083,ok,
190,linear_svm,1.0,0.9557,10000,10000,2.577,ok,
190,rbf_svm,1.0,0.9575,10000,10000,0.168,ok,
190,random_forest,1.0,0.9561,50000,10000,1.952,ok,
200,logistic_regression,1.0,0.9562,50000,10000,0.074,ok,
200,linear_svm,1.0,0.9551,10000,10000,2.439,ok,
200,rbf_svm,1.0,0.957,10000,10000,0.16,ok,
200,random_forest,1.0,0.956,50000,10000,2.705,ok,
