seed,lr_a,lr_b,epoch,cka,comparison_type
0,0.1,0.2,40,0.7889648061205727,seed_matched_cross_lr_same_epoch
0,0.1,0.2,45,0.8418719206749204,seed_matched_cross_lr_same_epoch
0,0.1,0.2,50,0.8334417569449954,seed_matched_cross_lr_same_epoch
0,0.1,0.2,60,0.819919780831858,seed_matched_cross_lr_same_epoch
0,0.1,0.2,70,0.8252387768170878,seed_matched_cross_lr_same_epoch
0,0.1,0.2,80,0.827820912659653,seed_matched_cross_lr_same_epoch
0,0.1,0.2,90,0.8556822759304393,seed_matched_cross_lr_same_epoch
0,0.1,0.2,100,0.8066437431637171,seed_matched_cross_lr_same_epoch
0,0.1,0.2,110,0.8298123457678053,seed_matched_cross_lr_same_epoch
0,0.1,0.2,120,0.8471540857801221,seed_matched_cross_lr_same_epoch
0,0.1,0.2,130,0.8547912275113834,seed_matched_cross_lr_same_epoch
0,0.1,0.2,140,0.8536763271032686,seed_matched_cross_lr_same_epoch
0,0.1,0.2,150,0.8543942602931293,seed_matched_cross_lr_same_epoch
0,0.1,0.2,160,0.8751441082099819,seed_matched_cross_lr_same_epoch
0,0.1,0.2,170,0.8996111275630979,seed_matched_cross_lr_same_epoch
0,0.1,0.2,180,0.9379668350049666,seed_matched_cross_lr_same_epoch
0,0.1,0.2,190,0.9544334358975216,seed_matched_cross_lr_same_epoch
0,0.1,0.2,200,0.9561544226052222,seed_matched_cross_lr_same_epoch
1,0.05,0.1,0,1.0,seed_matched_cross_lr_same_epoch
1,0.05,0.1,1,0.8048134760650855,seed_matched_cross_lr_same_epoch
1,0.05,0.1,2,0.8272095852621133,seed_matched_cross_lr_same_epoch
1,0.05,0.1,3,0.8351899022022253,seed_matched_cross_lr_same_epoch
1,0.05,0.1,4,0.8667843310983069,seed_matched_cross_lr_same_epoch
1,0.05,0.1,5,0.8755891563939996,seed_matched_cross_lr_same_epoch
1,0.05,0.1,6,0.9126085670315629,seed_matched_cross_lr_same_epoch
1,0.05,0.1,7,0.8868676557154894,seed_matched_cross_lr_same_epoch
1,0.05,0.1,8,0.8823414729247598,seed_matched_cross_lr_same_epoch
1,0.05,0.1,9,0.8994863059499423,seed_matched_cross_lr_same_epoch
1,0.05,0.1,10,0.8789935516942633,seed_matched_cross_lr_same_epoch
1,0.05,0.1,11,0.8708644219701767,seed_matched_cross_lr_same_epoch
1,0.05,0.1,12,0.8459860592787132,seed_matched_cross_lr_same_epoch
1,0.05,0.1,13,0.8516645062594602,seed_matched_cross_lr_same_epoch
1,0.05,0.1,14,0.8162347271056316,seed_matched_cross_lr_same_epoch
1,0.05,0.1,15,0.8709395427224518,seed_matched_cross_lr_same_epoch
1,0.05,0.1,16,0.8587949396970822,seed_matched_cross_lr_same_epoch
1,0.05,0.1,17,0.8263472548896367,seed_matched_cross_lr_same_epoch
1,0.05,0.1,18,0.8634081905465764,seed_matched_cross_lr_same_epoch
1,0.05,0.1,19,0.8652587473496128,seed_matched_cross_lr_same_epoch
1,0.05,0.1,20,0.8867220711140015,seed_matched_cross_lr_same_epoch
1,0.05,0.1,22,0.8664715668631324,seed_matched_cross_lr_same_epoch
1,0.05,0.1,24,0.7979901948390605,seed_matched_cross_lr_same_epoch
1,0.05,0.1,26,0.8421962549015961,seed_matched_cross_lr_same_epoch
1,0.05,0.1,28,0.8478151253321189,seed_matched_cross_lr_same_epoch
1,0.05,0.1,30,0.8370635391947736,seed_matched_cross_lr_same_epoch
1,0.05,0.1,35,0.830099763925635,seed_matched_cross_lr_same_epoch
1,0.05,0.1,40,0.8552096632972,seed_matched_cross_lr_same_epoch
1,0.05,0.1,45,0.829415379126277,seed_matched_cross_lr_same_epoch
1,0.05,0.1,50,0.8446504357475019,seed_matched_cross_lr_same_epoch
1,0.05,0.1,60,0.8129906766798711,seed_matched_cross_lr_same_epoch
1,0.05,0.1,70,0.8203100515767037,seed_matched_cross_lr_same_epoch
1,0.05,0.1,80,0.8166727879220645,seed_matched_cross_lr_same_epoch
1,0.05,0.1,90,0.829968865397797,seed_matched_cross_lr_same_epoch
1,0.05,0.1,100,0.8220739268125855,seed_matched_cross_lr_same_epoch
1,0.05,0.1,110,0.8385697081724454,seed_matched_cross_lr_same_epoch
