epoch,lr,train_loss,train_acc,network_test_acc,local_cka_change,cka_to_final,mean_future_cka,below_tau,nc1,log10_nc1,nc2_etf_deviation,nc3_weight_mean_alignment,nc4_ncm_disagreement,logistic_acc,linear_svm_acc,rbf_svm_acc,rf_acc,lightgbm_acc,entk_distance_prev,entk_distance_final,mean_future_entk_similarity,entk_within_class_mean,entk_between_class_mean,entk_within_between_ratio,n_subset,per_class_subset_size,bias_included,logistic_gap_to_final,logistic_relative_to_final_network,linear_svm_gap_to_final,linear_svm_relative_to_final_network,rbf_svm_gap_to_final,rbf_svm_relative_to_final_network,rf_gap_to_final,rf_relative_to_final_network,lightgbm_gap_to_final,lightgbm_relative_to_final_network
80,0.0330979354549537,0.1294855608224868,0.9555,0.8895,0.185894,0.831928,0.829358,0,0.23111387,-0.636174,0.40237746,0.23331212,0.02754,0.9209,0.9146,0.9103,0.9137,,0.03606209,0.04797245,0.95391491,37.71732505,0.0,37717325047703.375,500,50,1,0.03049999999999997,0.9679419802396468,0.03660000000000008,0.9613201597645574,0.041000000000000036,0.9568005045196553,0.03750000000000009,0.9603741854109732,,
90,0.0292982275069852,0.1228263087010383,0.9573,0.9086,0.162283,0.845296,0.845704,0,0.20570221,-0.686761,0.32556439,0.22590681,0.0197,0.9271,0.9204,0.9249,0.9247,,0.03004574,0.0463816,0.95825155,37.04335885,0.0,37043358854342.17,500,50,1,0.02429999999999999,0.9744586924532268,0.03080000000000005,0.9674164389321,0.02639999999999998,0.9721463107000211,0.02650000000000008,0.9719360941770022,,
100,0.0253926829327955,0.0991137945783138,0.96696,0.9044,0.14681,0.854805,0.852937,0,0.19729526,-0.704883,0.36531477,0.22860253,0.01556,0.9233,0.918,0.9179,0.9173,,0.03028024,0.03590032,0.966901,37.80039203,0.0,37800392029345.19,500,50,1,0.028100000000000014,0.9704645785158713,0.03320000000000001,0.9648938406558756,0.033399999999999985,0.9647887323943662,0.03390000000000004,0.96415808282531,,
110,0.0214774692015604,0.0767261445879936,0.97342,0.9155,0.137195,0.877355,0.873724,0,0.16072675,-0.793912,0.33210271,0.19917012,0.00962,0.9298,0.9246,0.9245,0.9269,,0.02389439,0.02287449,0.97713896,38.27441397,0.0,38274413966471.85,500,50,1,0.021600000000000064,0.9772966155139793,0.026600000000000068,0.9718309859154929,0.026800000000000046,0.9717258776539835,0.0243000000000001,0.974248475930208,,
120,0.0176489918691924,0.0665597859716415,0.9776,0.9195,0.12731,0.883963,0.878727,0,0.15667186,-0.805009,0.33953937,0.20408691,0.0062,0.9293,0.9249,0.9252,0.9253,,0.021179,0.02248562,0.9771553,37.45992477,0.0,37459924768780.38,500,50,1,0.02210000000000001,0.9767710742064326,0.02629999999999999,0.9721463107000211,0.026100000000000012,0.9724616354845491,0.025900000000000034,0.9725667437460584,,
130,0.0140015207536021,0.0455931060576438,0.98514,0.912,0.137638,0.884212,0.883663,0,0.14334598,-0.843614,0.24216931,0.1989087,0.0061,0.9246,0.9229,0.9224,0.9249,,0.02079104,0.01993141,0.98018563,36.52995046,0.0,36529950456754.43,500,50,1,0.026800000000000046,0.9718309859154929,0.028299999999999992,0.970044145469834,0.028900000000000037,0.9695186041622871,0.02629999999999999,0.9721463107000211,,
140,0.010624868698918,0.0280049450701475,0.9911,0.9322,0.11643,0.933607,0.930227,0,0.08449689,-1.073159,0.21675551,0.17280367,0.0012,0.933,0.9334,0.9341,0.9342,,0.01671661,0.00925901,0.98982434,36.48509584,0.0,36485095839521.42,500,50,1,0.018399999999999972,0.9806600798822788,0.017800000000000038,0.9810805129283161,0.017199999999999993,0.9818162707588817,0.017000000000000015,0.981921379020391,,
150,0.0076021800851921,0.0142085517501831,0.99556,0.9335,0.080154,0.943193,0.941398,0,0.06735157,-1.171652,0.20349817,0.17535847,0.002,0.9384,0.9392,0.9403,0.9408,,0.01083609,0.00704776,0.99263912,35.16419236,0.0,35164192359869.52,500,50,1,0.013000000000000012,0.9863359260037838,0.01200000000000001,0.9871767920958587,0.01100000000000001,0.9883329829724616,0.010400000000000076,0.9888585242800083,,
160,0.0050078835378227,0.0050808109918236,0.9988,0.9435,0.063867,0.979534,0.979452,0,0.03445617,-1.462733,0.16807575,0.16037082,8e-05,0.9447,0.9429,0.9443,0.9441,,0.00765022,0.00214375,0.99765329,34.12854981,0.0,34128549807775.17,500,50,1,0.006700000000000039,0.9929577464788732,0.008300000000000085,0.9910657977717048,0.007000000000000006,0.9925373134328358,0.007099999999999995,0.9923270969098171,,
170,0.0029058592477826,0.0018256948024034,0.99988,0.9493,0.020454,0.995457,0.995586,0,0.01862766,-1.729842,0.16935761,0.16093559,0.0,0.9491,0.9485,0.9496,0.9499,,0.00234566,0.0006138,0.99945568,33.80905607,0.0,33809056071671.72,500,50,1,0.0022999999999999687,0.9975825099852849,0.0027000000000000357,0.9969518604162287,0.0017000000000000348,0.9981080512928316,0.0013000000000000789,0.9984233760773596,,
180,0.0013478660293113,0.0015769232983142,1.0,0.9509,0.004188,0.99874,0.998596,1,0.01500044,-1.823896,0.16909107,0.16267748,0.0,0.9517,0.951,0.9522,0.9516,,0.00054026,0.00049984,0.99934018,33.73973175,0.0,33739731749336.293,500,50,1,-0.00029999999999996696,1.000315324784528,0.000200000000000089,0.9995795669539626,-0.0009000000000000119,1.000840866092075,-0.00039999999999995595,1.0002102165230187,,
190,0.0003722668461306,0.0015524738440662,0.99998,0.9517,0.001548,0.999076,0.999076,1,0.01376801,-1.861129,0.16967726,0.16447953,0.0,0.9515,0.9516,0.9509,0.9516,,0.00081979,0.0008564,0.9991436,33.61567057,0.0,33615670568037.92,500,50,1,-9.999999999998899e-05,1.0001051082615093,-0.00039999999999995595,1.0002102165230187,0.00040000000000006697,0.9994744586924532,-0.00039999999999995595,1.0002102165230187,,
200,3.084187958485309e-06,0.0015163475235551,0.99996,0.9514,0.000924,1.0,,1,0.01361056,-1.866124,0.17121889,0.16382461,0.0,0.9514,0.9512,0.9513,0.9512,,0.0008564,0.0,,33.71953838,0.0,33719538377387.29,500,50,1,0.0,1.0,0.0,0.9997897834769813,0.0,0.9998948917384907,0.0,0.9997897834769813,,
