epoch_a,epoch_b,n_samples,cka_value
12,60,2040,0.78535
12,70,2040,0.807369
12,80,2040,0.769004
12,90,2040,0.785589
12,100,2040,0.766131
12,110,2040,0.793033
12,120,2040,0.763902
12,130,2040,0.717888
12,140,2040,0.734191
12,150,2040,0.698552
12,160,2040,0.701553
12,170,2040,0.6944
12,180,2040,0.705541
12,190,2040,0.706022
12,200,2040,0.709127
13,13,2040,1.0
13,14,2040,0.859966
13,15,2040,0.785327
13,16,2040,0.829289
13,17,2040,0.787191
13,18,2040,0.780771
13,19,2040,0.818482
13,20,2040,0.835431
13,22,2040,0.783502
13,24,2040,0.76971
13,26,2040,0.783754
13,28,2040,0.802614
13,30,2040,0.699141
13,35,2040,0.757425
13,40,2040,0.73508
13,45,2040,0.788052
13,50,2040,0.738235
13,60,2040,0.793641
13,70,2040,0.782518
13,80,2040,0.783508
13,90,2040,0.764646
13,100,2040,0.751935
13,110,2040,0.756961
13,120,2040,0.754773
13,130,2040,0.709553
13,140,2040,0.711907
13,150,2040,0.670953
13,160,2040,0.671282
13,170,2040,0.671187
13,180,2040,0.677133
13,190,2040,0.679081
13,200,2040,0.683054
14,14,2040,1.0
14,15,2040,0.809236
14,16,2040,0.818916
14,17,2040,0.776867
14,18,2040,0.794312
14,19,2040,0.786004
14,20,2040,0.834973
14,22,2040,0.818421
14,24,2040,0.783473
14,26,2040,0.782415
14,28,2040,0.811687
14,30,2040,0.709095
14,35,2040,0.777895
14,40,2040,0.774629
14,45,2040,0.772711
14,50,2040,0.759206
14,60,2040,0.767634
14,70,2040,0.772935
14,80,2040,0.799767
14,90,2040,0.769575
14,100,2040,0.763408
14,110,2040,0.769069
14,120,2040,0.743609
14,130,2040,0.716235
14,140,2040,0.720492
14,150,2040,0.683507
14,160,2040,0.678231
14,170,2040,0.682967
14,180,2040,0.689934
14,190,2040,0.689906
14,200,2040,0.694333
15,15,2040,1.0
15,16,2040,0.787075
15,17,2040,0.776417
15,18,2040,0.773193
15,19,2040,0.776416
15,20,2040,0.76078
