epoch,probe_name,train_acc,test_acc,n_train,n_test,fit_seconds,status,error_message
150,logistic_regression,0.99954,0.943,50000,10000,0.629,ok,
150,linear_svm,1.0,0.9428,10000,10000,3.77,ok,
150,rbf_svm,0.9998,0.9438,10000,10000,0.302,ok,
150,random_forest,1.0,0.9428,50000,10000,1.839,ok,
160,logistic_regression,0.99998,0.9471,50000,10000,0.453,ok,
160,linear_svm,1.0,0.9463,10000,10000,3.924,ok,
160,rbf_svm,1.0,0.947,10000,10000,0.223,ok,
160,random_forest,1.0,0.9483,50000,10000,1.785,ok,
170,logistic_regression,1.0,0.9516,50000,10000,0.442,ok,
170,linear_svm,1.0,0.9508,10000,10000,3.591,ok,
170,rbf_svm,1.0,0.9518,10000,10000,0.224,ok,
170,random_forest,1.0,0.9514,50000,10000,1.451,ok,
180,logistic_regression,1.0,0.952,50000,10000,0.479,ok,
180,linear_svm,1.0,0.9514,10000,10000,3.282,ok,
180,rbf_svm,1.0,0.9512,10000,10000,0.157,ok,
180,random_forest,1.0,0.9533,50000,10000,1.575,ok,
190,logistic_regression,0.99998,0.9509,50000,10000,0.394,ok,
190,linear_svm,1.0,0.9517,10000,10000,3.971,ok,
190,rbf_svm,1.0,0.9516,10000,10000,0.147,ok,
190,random_forest,1.0,0.9527,50000,10000,1.587,ok,
200,logistic_regression,1.0,0.9525,50000,10000,0.55,ok,
200,linear_svm,1.0,0.9519,10000,10000,3.963,ok,
200,rbf_svm,1.0,0.953,10000,10000,0.224,ok,
200,random_forest,1.0,0.9533,50000,10000,1.407,ok,
